geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9669119, 'lng': -90.10977009999999}, 'viewport': {'northeast': {'lat': 29.9682372302915, 'lng': -90.10844511970849}, 'southwest': {'lat': 29.9655392697085, 'lng': -90.11114308029151}}}",Costco Gasoline,"3900 Dublin Street, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.9669119,-90.10977009999999
"{'location': {'lat': 29.9632039, 'lng': -90.11225499999999}, 'viewport': {'northeast': {'lat': 29.9646016802915, 'lng': -90.11084921970848}, 'southwest': {'lat': 29.9619037197085, 'lng': -90.11354718029149}}}",Mobil,"3415 South Carrollton Avenue, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.9632039,-90.11225499999999
"{'location': {'lat': 29.91850019999999, 'lng': -90.04940959999999}, 'viewport': {'northeast': {'lat': 29.9199342802915, 'lng': -90.0481623197085}, 'southwest': {'lat': 29.9172363197085, 'lng': -90.0508602802915}}}",Chevron,"1001 Stumpf Boulevard, Gretna","['gas_station', 'convenience_store', 'car_repair', 'store', 'food', 'point_of_interest', 'establishment']",29.91850019999999,-90.04940959999999
"{'location': {'lat': 29.9008932, 'lng': -90.0639111}, 'viewport': {'northeast': {'lat': 29.9021554302915, 'lng': -90.0627677197085}, 'southwest': {'lat': 29.8994574697085, 'lng': -90.06546568029151}}}",Raceway,"989 Manhattan Boulevard, Harvey","['gas_station', 'point_of_interest', 'establishment']",29.9008932,-90.0639111
"{'location': {'lat': 29.989914, 'lng': -90.0725191}, 'viewport': {'northeast': {'lat': 29.9912462802915, 'lng': -90.07135961970849}, 'southwest': {'lat': 29.9885483197085, 'lng': -90.0740575802915}}}",Shell,"2035 Gentilly Boulevard, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.989914,-90.0725191
"{'location': {'lat': 29.9172052, 'lng': -90.0464391}, 'viewport': {'northeast': {'lat': 29.91847993029149, 'lng': -90.0449236697085}, 'southwest': {'lat': 29.9157819697085, 'lng': -90.0476216302915}}}",Uncle Sam Auto Repair / New and Used Tires,"73 Westbank Expressway, Gretna","['gas_station', 'point_of_interest', 'establishment']",29.9172052,-90.0464391
"{'location': {'lat': 29.92867, 'lng': -90.032006}, 'viewport': {'northeast': {'lat': 29.9301791302915, 'lng': -90.03079701970849}, 'southwest': {'lat': 29.9274811697085, 'lng': -90.03349498029151}}}",Chevron,"2601 General De Gaulle Drive, New Orleans","['gas_station', 'convenience_store', 'car_repair', 'store', 'food', 'point_of_interest', 'establishment']",29.92867,-90.032006
"{'location': {'lat': 29.9089214, 'lng': -90.0471847}, 'viewport': {'northeast': {'lat': 29.9101998302915, 'lng': -90.04577696970848}, 'southwest': {'lat': 29.9075018697085, 'lng': -90.0484749302915}}}",Gly Tech,"53 Smithway Drive, Gretna","['gas_station', 'point_of_interest', 'establishment']",29.9089214,-90.0471847
"{'location': {'lat': 29.9241906, 'lng': -90.018512}, 'viewport': {'northeast': {'lat': 29.9255239802915, 'lng': -90.0171039197085}, 'southwest': {'lat': 29.9228260197085, 'lng': -90.01980188029151}}}",Exxon,"3622 General De Gaulle Drive, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.9241906,-90.018512
"{'location': {'lat': 29.9125613, 'lng': -90.053224}, 'viewport': {'northeast': {'lat': 29.9139673802915, 'lng': -90.05192101970849}, 'southwest': {'lat': 29.9112694197085, 'lng': -90.0546189802915}}}",Walmart Fuel Station,"99 Westbank Expressway, Gretna","['gas_station', 'point_of_interest', 'establishment']",29.9125613,-90.053224
"{'location': {'lat': 29.949856, 'lng': -90.06970779999999}, 'viewport': {'northeast': {'lat': 29.9510206802915, 'lng': -90.06841016970849}, 'southwest': {'lat': 29.9483227197085, 'lng': -90.07110813029149}}}",Nca Energy Services,"601 Poydras Street #1725, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.949856,-90.06970779999999
"{'location': {'lat': 29.92027500000001, 'lng': -90.03406389999999}, 'viewport': {'northeast': {'lat': 29.92168343029149, 'lng': -90.03279166970849}, 'southwest': {'lat': 29.9189854697085, 'lng': -90.0354896302915}}}",Exxon,"123 Terry Parkway, Gretna","['gas_station', 'point_of_interest', 'establishment']",29.92027500000001,-90.03406389999999
