geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9460811, 'lng': -90.0770888}, 'viewport': {'northeast': {'lat': 29.9474093302915, 'lng': -90.0757269197085}, 'southwest': {'lat': 29.9447113697085, 'lng': -90.07842488029151}}}",Loyola at Howard,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9460811,-90.0770888
"{'location': {'lat': 29.958298, 'lng': -90.07056949999999}, 'viewport': {'northeast': {'lat': 29.9596315802915, 'lng': -90.0691972197085}, 'southwest': {'lat': 29.9569336197085, 'lng': -90.0718951802915}}}",N. Rampart at Conti,United States,"['transit_station', 'point_of_interest', 'establishment']",29.958298,-90.07056949999999
"{'location': {'lat': 29.9595135, 'lng': -90.07073249999999}, 'viewport': {'northeast': {'lat': 29.9608643302915, 'lng': -90.0693818697085}, 'southwest': {'lat': 29.9581663697085, 'lng': -90.0720798302915}}}",Basin at St Louis,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9595135,-90.07073249999999
"{'location': {'lat': 29.9569004, 'lng': -90.079815}, 'viewport': {'northeast': {'lat': 29.9582464302915, 'lng': -90.07846766970849}, 'southwest': {'lat': 29.9555484697085, 'lng': -90.0811656302915}}}",Tulane at S Claiborne,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9569004,-90.079815
"{'location': {'lat': 29.9567115, 'lng': -90.062794}, 'viewport': {'northeast': {'lat': 29.9580833802915, 'lng': -90.0614258197085}, 'southwest': {'lat': 29.9553854197085, 'lng': -90.06412378029151}}}",Decatur at St Peter,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9567115,-90.062794
"{'location': {'lat': 29.9426135, 'lng': -90.0780745}, 'viewport': {'northeast': {'lat': 29.9439629302915, 'lng': -90.0767263197085}, 'southwest': {'lat': 29.9412649697085, 'lng': -90.0794242802915}}}",O C Haley at Erato,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9426135,-90.0780745
"{'location': {'lat': 29.94385, 'lng': -90.08043049999999}, 'viewport': {'northeast': {'lat': 29.9451868302915, 'lng': -90.07909031970848}, 'southwest': {'lat': 29.94248886970851, 'lng': -90.0817882802915}}}",Simon Bolivar at Erato,United States,"['transit_station', 'point_of_interest', 'establishment']",29.94385,-90.08043049999999
"{'location': {'lat': 29.9613605, 'lng': -90.06764650000001}, 'viewport': {'northeast': {'lat': 29.9627318802915, 'lng': -90.0662760197085}, 'southwest': {'lat': 29.9600339197085, 'lng': -90.06897398029152}}}",N. Rampart at St Ann,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9613605,-90.06764650000001
"{'location': {'lat': 29.9404695, 'lng': -90.07444699999999}, 'viewport': {'northeast': {'lat': 29.9418004802915, 'lng': -90.07311071970848}, 'southwest': {'lat': 29.9391025197085, 'lng': -90.0758086802915}}}",St Charles at Erato,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9404695,-90.07444699999999
"{'location': {'lat': 29.9577988, 'lng': -90.0818144}, 'viewport': {'northeast': {'lat': 29.9591511302915, 'lng': -90.08046341970848}, 'southwest': {'lat': 29.9564531697085, 'lng': -90.0831613802915}}}",Tulane at S Roman,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9577988,-90.0818144
